,player_id,name,club,league,height_cm,weight_kg,position,foot,country,age,PD_Info,Goals Against,Shots on Target Against,Saves,Save%,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Free Kick Goals Against,Corner Kick Goals Against,Own Goals Scored Against Goalkeeper,PSxG,PSxG/SoT,PSxG-GA,Passes Completed (Launched),Passes Attempted (Launched),Pass Completion Percentage (Launched),Passes Attempted,Throws Attempted,Launch%,Average Pass Length,Goal Kicks,Launch% (Goal Kicks),Avg. Length of Goal Kicks,Crosses Faced,Crosses Stopped,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
35,08f5afaa,Gianluigi Donnarumma,Paris S-G,Ligue 1,196,90,Goalkeeper,Right,Italy,22.83,Gianluigi Donnarumma - 22.83 - Paris S-G,1.0,3.51,2.59,73.7,0.56,0.21,0.23,0.36,35.9,0.13,0.08,0.0,0.05,0.0,0.03,0.18,0.0,1.05,0.28,0.05,4.59,9.46,48.5,27.36,5.03,26.7,29.5,6.62,32.6,31.7,8.46,0.72,8.5,0.9,15.3
36,db3164e1,Gauthier Gallon,Troyes,Ligue 1,186,79,Goalkeeper,Right,,28.67,Gauthier Gallon - 28.67 - Troyes,1.47,4.42,3.11,69.0,0.21,0.26,0.53,0.16,15.8,0.11,0.11,0.0,0.0,0.0,0.0,0.32,0.11,1.28,0.27,-0.09,8.11,17.74,45.7,27.53,5.37,45.9,38.7,8.32,61.4,44.7,9.16,0.74,8.0,0.58,12.8
37,cecbce23,Alfred Gomis,Rennes,Ligue 1,196,86,Goalkeeper,Right,Senegal,28.31,Alfred Gomis - 28.31 - Rennes,0.94,2.89,2.03,73.3,0.43,0.23,0.34,0.37,37.1,0.2,0.17,0.0,0.03,0.0,0.0,0.06,0.0,1.01,0.31,0.07,5.0,11.34,44.1,24.23,5.03,30.2,31.4,6.54,61.6,47.7,8.74,0.71,8.2,0.71,14.9
38,3f034750,Ivo Grbić,Lille,Ligue 1,195,83,Goalkeeper,Right,Croatia,25.93,Ivo Grbić - 25.93 - Lille,1.0,3.52,2.65,75.3,0.43,0.35,0.22,0.22,21.7,0.13,0.13,0.0,0.0,0.0,0.04,0.17,0.0,1.03,0.26,0.03,5.61,15.91,35.2,21.3,4.26,50.2,41.1,7.74,67.4,49.6,9.61,0.91,9.5,0.43,13.2
39,667b65da,Etienne Green,Saint-Étienne,Ligue 1,190,80,Goalkeeper,Right,England,21.43,Etienne Green - 21.43 - Saint-Étienne,1.64,4.27,2.86,64.8,0.28,0.28,0.52,0.19,17.4,0.23,0.14,0.05,0.05,25.0,0.09,0.14,0.09,1.37,0.29,-0.18,5.59,14.88,37.5,20.85,4.51,45.3,39.4,8.4,64.8,50.5,8.78,0.66,7.5,0.61,14.0
40,4e7db402,Alban Lafont,Nantes,Ligue 1,193,77,Goalkeeper,Right,France,22.92,Alban Lafont - 22.92 - Nantes,1.2,3.85,2.7,70.8,0.35,0.28,0.38,0.18,17.5,0.18,0.08,0.08,0.03,50.0,0.03,0.2,0.03,1.11,0.26,-0.07,5.85,18.68,31.3,22.58,2.95,56.0,46.5,6.88,87.6,62.1,8.5,0.68,7.9,0.58,14.6
41,edbe46dc,Jean Louis Leca,Lens,Ligue 1,180,75,Goalkeeper,Right,,36.26,Jean Louis Leca - 36.26 - Lens,1.38,3.57,2.48,68.6,0.34,0.39,0.29,0.16,15.4,0.26,0.26,0.0,0.0,0.0,0.03,0.16,0.05,1.33,0.32,0.0,4.43,11.7,37.9,19.83,4.33,41.7,36.7,7.71,44.6,38.1,8.1,0.7,8.7,0.68,14.6
42,f00de885,Anthony Lopes,Lyon,Ligue 1,184,77,Goalkeeper,Left,Portugal,31.24,Anthony Lopes - 31.24 - Lyon,1.35,4.13,2.97,70.1,0.51,0.26,0.23,0.26,25.6,0.12,0.12,0.0,0.0,0.0,0.07,0.16,0.07,1.25,0.29,-0.04,4.98,9.88,50.4,25.86,4.79,28.3,32.0,6.94,37.0,35.3,8.18,0.4,4.9,0.96,16.1
43,20b9f052,Pau López,Marseille,Ligue 1,189,77,Goalkeeper,Left,Spain,27.04,Pau López - 27.04 - Marseille,1.11,3.48,2.55,71.4,0.45,0.31,0.26,0.38,37.2,0.14,0.12,0.02,0.0,16.7,0.02,0.12,0.09,1.17,0.3,0.15,4.63,10.69,43.4,32.1,5.13,27.2,30.5,5.67,34.2,33.7,5.89,0.52,8.8,1.02,16.3
44,1d2d5cc8,Steve Mandanda,Marseille,Ligue 1,185,82,Goalkeeper,Right,France,36.74,Steve Mandanda - 36.74 - Marseille,1.3,3.48,2.22,63.8,0.41,0.37,0.22,0.22,22.2,0.04,0.04,0.0,0.0,0.0,0.04,0.37,0.04,1.14,0.33,-0.12,5.3,12.89,41.1,28.33,4.63,34.0,33.6,7.67,42.5,38.0,8.3,0.48,5.8,0.7,15.2
