,player_id,name,club,league,height_cm,weight_kg,position,foot,country,age,PD_Info,Goals,Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,npxG,xA,npxG+xA,Shots Total,Shots on target,Shots on target %,Goals/Shot,Goals/Shot on target,Average Shot Distance,Shots from free kicks,npxG/Sh,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Live-ball passes,Dead-ball passes,Passes from Free Kicks,Through Balls,Passes Under Pressure,Switches,Crosses,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Ground passes,Low Passes,High Passes,Passes Attempted (Left),Passes Attempted (Right),Passes Attempted (Head),Throw-Ins taken,Passes Attempted (Other),Passes Offside,Passes Out of Bounds,Passes Intercepted,Passes Blocked,Shot-Creating Actions,SCA (PassLive),SCA (PassDead),SCA (Drib),SCA (Sh),SCA (Fld),SCA (Def),Goal-Creating Actions,GCA (PassLive),GCA (PassDead),GCA (Drib),GCA (Sh),GCA (Fld),GCA (Def),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Contested,% of dribblers tackled,Dribbled Past,Pressures,Successful Pressures,Successful Pressure %,Pressures (Def 3rd),Pressures (Mid 3rd),Pressures (Att 3rd),Blocks,Shots Blocked,Shots Saved,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Dribbles Completed,Dribbles Attempted,Successful Dribble %,Players Dribbled Past,Nutmegs,Carries,Total Carrying Distance,Progressive Carrying Distance,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Pass Targets,Passes Received,Passes Received %,Progressive Passes Rec,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials won,Aerials lost,% of Aerials Won
72,6434f10d,Rodri,Manchester City,Premier League,190,78,Midfielder,Right,Spain,25.51,Rodri - 25.51 - Manchester City,0.1,0.07,0.07,0.02,0.02,0.19,0.0,0.07,0.05,0.06,0.12,0.86,0.21,25.0,0.08,0.33,17.2,0.0,0.06,0.02,0.02,81.88,88.57,92.5,1648.34,321.77,30.33,31.9,95.1,37.78,40.05,94.3,13.21,15.19,86.9,0.88,7.81,0.76,0.0,5.09,87.18,1.39,1.29,0.14,13.85,2.98,0.36,0.0,0.0,0.0,0.0,69.27,7.83,11.46,13.32,70.71,2.58,0.1,0.29,0.1,0.55,1.24,0.91,2.53,2.05,0.02,0.14,0.14,0.05,0.12,0.26,0.21,0.0,0.02,0.0,0.0,0.02,2.63,1.81,1.03,1.27,0.33,1.07,2.01,53.6,0.93,16.05,5.75,35.9,4.58,8.79,2.67,1.22,0.31,0.02,1.5,4.13,1.98,0.05,97.5,3.2,19.51,62.78,20.85,1.72,96.42,0.64,1.03,62.8,0.67,0.05,68.75,283.37,138.33,5.68,1.53,0.19,0.36,0.67,78.61,76.32,97.1,1.81,0.0,1.81,1.1,0.02,0.0,0.0,0.0,11.34,2.56,0.84,75.4
73,1fb1c435,Rodrigo,Leeds United,Premier League,180,73,Midfielder,Left,Spain,30.8,Rodrigo - 30.8 - Leeds United,0.42,0.12,0.36,0.06,0.06,0.42,0.0,0.34,0.29,0.24,0.53,2.52,0.96,38.1,0.14,0.38,18.0,0.0,0.12,0.08,0.07,25.78,33.7,76.5,456.96,115.24,13.01,16.13,80.7,8.99,10.79,83.3,3.06,4.62,66.2,2.04,2.16,1.44,0.42,3.06,31.96,1.74,0.42,0.42,7.2,1.32,1.14,0.3,0.12,0.18,0.0,21.47,7.08,5.16,26.8,3.6,1.86,0.24,0.42,0.0,0.48,2.1,0.36,3.84,3.12,0.12,0.24,0.18,0.06,0.12,0.42,0.24,0.0,0.12,0.0,0.06,0.0,1.14,0.84,0.42,0.42,0.3,0.18,0.78,23.1,0.6,16.85,4.86,28.8,2.28,7.73,6.84,0.36,0.0,0.0,0.78,1.92,1.26,0.0,45.75,1.38,6.96,21.89,19.49,3.84,44.07,0.84,1.56,53.8,0.96,0.0,30.58,143.78,55.4,3.36,1.14,0.42,2.58,1.5,48.75,33.64,69.0,8.27,0.0,0.9,1.26,0.3,0.0,0.0,0.0,6.0,1.32,2.16,37.9
74,4b511457,Oriol Romeu,Southampton,Premier League,183,83,Midfielder,Right,Spain,30.25,Oriol Romeu - 30.25 - Southampton,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.03,0.03,0.04,0.07,0.58,0.0,0.0,0.0,,22.2,0.0,0.05,-0.03,-0.03,45.27,54.92,82.4,807.76,197.95,21.09,24.09,87.5,19.38,22.48,86.2,4.22,7.0,60.3,0.63,3.54,0.85,0.04,4.31,53.75,1.17,1.03,0.09,9.6,1.26,0.31,0.04,0.0,0.04,0.0,39.08,4.98,10.86,7.58,41.9,3.45,0.09,0.27,0.04,1.12,1.03,1.21,1.79,1.48,0.0,0.04,0.04,0.09,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,2.69,1.75,0.85,1.62,0.22,0.85,2.6,32.8,1.75,17.0,5.43,31.9,6.06,9.11,1.84,1.44,0.22,0.0,1.79,4.49,1.88,0.0,65.05,3.14,16.06,40.2,13.28,0.94,64.16,0.76,1.12,68.0,0.76,0.04,40.42,206.29,118.49,5.56,1.84,0.13,0.94,0.63,44.73,41.68,93.2,1.53,0.0,1.97,1.03,0.0,0.0,0.0,0.0,13.06,1.93,1.66,53.8
75,3faa1780,Lukas Rupp,Norwich City,Premier League,178,64,Midfielder,Right,,30.96,Lukas Rupp - 30.96 - Norwich City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.21,0.32,2.08,0.38,18.2,0.0,0.0,19.1,0.0,0.05,-0.11,-0.11,42.64,50.0,85.3,726.04,142.83,21.32,22.64,94.2,15.47,17.55,88.2,4.53,6.79,66.7,1.51,2.26,0.38,0.19,2.64,49.43,0.57,0.19,0.19,8.68,1.32,0.57,0.0,0.0,0.0,0.0,37.74,6.6,5.66,7.92,40.0,1.13,0.19,0.38,0.38,1.32,1.7,1.13,3.58,2.83,0.0,0.38,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.32,0.75,0.94,0.0,0.75,2.26,33.3,1.51,19.81,7.17,36.2,8.68,7.92,3.21,1.32,0.19,0.0,2.83,4.53,0.57,0.19,63.4,3.77,16.79,32.83,18.68,2.26,62.83,0.94,1.13,83.3,0.94,0.0,44.91,209.43,97.92,5.28,1.89,0.0,1.7,2.26,46.6,42.64,91.5,3.02,0.0,1.32,1.13,0.0,0.0,0.0,0.0,12.45,0.75,1.13,40.0
76,1b4f1169,Albert Sambi Lokonga,Arsenal,Premier League,183,79,Midfielder,Right,Belgium,22.18,Albert Sambi Lokonga - 22.18 - Arsenal,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.05,0.05,0.07,0.11,1.65,0.66,40.0,0.0,0.0,25.3,0.0,0.03,-0.05,-0.05,52.53,59.23,88.7,964.84,226.48,22.09,24.29,91.0,22.09,23.85,92.6,7.03,9.45,74.4,1.32,4.95,1.43,0.11,4.51,56.92,2.31,2.09,0.11,9.67,1.43,0.33,0.0,0.0,0.0,0.0,47.25,4.95,7.03,11.65,44.07,2.2,0.11,0.11,0.0,0.55,1.21,0.99,2.31,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09,1.32,0.88,1.1,0.11,0.77,1.32,58.3,0.55,11.87,3.74,31.5,3.96,5.82,2.09,1.65,0.66,0.0,2.09,4.18,1.1,0.22,69.78,2.86,19.67,39.23,14.95,0.22,68.13,0.33,0.44,75.0,0.33,0.0,47.47,291.54,163.52,6.81,1.21,0.0,0.99,0.55,52.31,50.44,96.4,0.99,0.0,1.1,1.32,0.0,0.0,0.0,0.0,9.45,1.1,1.65,40.0
77,6e7f1353,Morgan Sanson,Aston Villa,Premier League,182,70,Midfielder,Right,France,27.35,Morgan Sanson - 27.35 - Aston Villa,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.02,0.02,0.03,0.05,0.77,0.15,20.0,0.0,0.0,26.1,0.0,0.02,-0.02,-0.02,31.69,42.77,74.1,538.77,138.15,15.08,17.69,85.2,13.23,16.62,79.6,2.46,5.69,43.2,0.31,2.46,0.46,0.15,2.62,40.77,2.0,0.77,0.0,8.62,1.08,1.69,1.08,0.62,0.15,0.0,30.31,6.0,6.46,7.08,32.31,2.0,0.15,0.31,0.0,0.62,1.69,1.69,1.23,0.92,0.0,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,1.69,1.38,0.31,0.46,0.31,1.85,16.7,1.54,31.08,9.69,31.2,10.46,13.54,7.08,1.69,0.0,0.0,2.31,4.46,0.77,0.0,56.15,1.54,10.31,30.92,19.54,0.77,54.46,1.23,1.54,80.0,1.38,0.0,38.31,221.38,118.46,6.77,2.15,0.0,2.77,2.77,46.92,37.54,80.0,3.38,0.0,2.0,2.31,0.31,0.0,0.0,0.0,8.62,1.23,0.92,57.1
78,3312f911,Jeffrey Schlupp,Crystal Palace,Premier League,178,72,Midfielder,Left,Ghana,29.01,Jeffrey Schlupp - 29.01 - Crystal Palace,0.18,0.18,0.18,0.0,0.0,0.09,0.0,0.08,0.08,0.12,0.21,1.28,0.55,42.9,0.14,0.33,14.1,0.0,0.07,0.1,0.1,18.84,26.62,70.8,324.15,96.86,8.96,11.62,77.2,7.87,10.06,78.2,1.74,3.29,52.8,1.01,1.83,0.73,0.18,2.2,26.07,0.55,0.18,0.09,7.41,0.27,1.28,0.09,0.0,0.0,0.0,18.75,3.48,4.39,18.11,5.49,1.55,0.09,0.09,0.18,0.64,1.37,1.92,1.83,1.46,0.0,0.18,0.0,0.18,0.0,0.18,0.18,0.0,0.0,0.0,0.0,0.0,2.84,1.65,1.19,1.19,0.46,0.64,1.37,46.7,0.73,18.38,5.67,30.8,5.58,8.32,4.48,2.29,0.37,0.0,1.55,4.39,1.46,0.0,43.45,2.38,10.79,19.3,15.46,2.84,42.9,1.55,3.02,51.5,1.65,0.27,25.43,121.92,63.93,3.48,0.64,0.55,1.74,2.93,32.1,24.7,76.9,3.48,0.0,2.2,0.82,0.0,0.0,0.0,0.0,8.78,1.92,1.83,51.2
79,3727dd3c,Jonjo Shelvey,Newcastle Utd,Premier League,183,70,Midfielder,Right,England,29.82,Jonjo Shelvey - 29.82 - Newcastle Utd,0.07,0.1,0.07,0.0,0.0,0.31,0.03,0.07,0.07,0.08,0.15,1.36,0.38,27.5,0.05,0.18,24.3,0.27,0.05,0.0,0.0,34.65,46.04,75.3,864.16,272.46,10.57,11.83,89.3,13.74,16.51,83.3,10.09,16.92,59.7,1.26,4.6,0.61,0.1,3.65,41.13,4.91,2.76,0.24,7.16,4.43,1.09,1.71,0.65,0.68,0.2,25.78,4.81,15.45,5.12,38.54,1.5,0.07,0.2,0.1,0.92,0.99,0.75,2.39,1.36,0.85,0.0,0.03,0.03,0.1,0.2,0.1,0.07,0.0,0.0,0.0,0.03,1.36,0.65,0.68,0.51,0.17,0.31,1.5,20.5,1.19,12.65,2.49,19.7,5.8,5.46,1.4,1.09,0.34,0.0,1.71,3.07,2.22,0.03,54.77,2.9,17.94,28.0,11.39,0.51,49.62,0.65,0.85,76.0,0.72,0.03,31.92,144.63,60.91,2.05,0.65,0.0,0.34,0.48,34.96,33.05,94.5,0.68,0.03,1.26,0.51,0.0,0.0,0.0,0.0,9.11,1.16,0.82,58.6
80,3eb22ec9,Bernardo Silva,Manchester City,Premier League,173,65,Midfielder,Left,Portugal,27.38,Bernardo Silva - 27.38 - Manchester City,0.23,0.23,0.23,0.0,0.0,0.21,0.0,0.18,0.18,0.18,0.36,1.23,0.59,48.1,0.19,0.38,12.6,0.0,0.15,0.05,0.05,52.57,58.75,89.5,843.12,130.62,28.15,29.97,93.9,18.66,20.48,91.1,4.04,5.29,76.3,1.53,3.06,1.44,0.07,3.12,56.15,2.6,0.64,0.11,7.98,1.0,1.64,0.68,0.05,0.11,0.02,47.76,6.36,4.63,52.0,4.38,1.0,0.96,0.16,0.18,0.43,1.09,1.16,3.47,2.74,0.05,0.27,0.21,0.16,0.05,0.48,0.43,0.0,0.0,0.05,0.0,0.0,1.51,0.91,0.59,0.52,0.39,0.66,2.14,30.9,1.48,18.63,4.97,26.7,3.38,8.35,6.91,1.23,0.07,0.0,1.0,2.51,0.48,0.02,68.33,1.0,8.21,34.17,32.27,5.29,65.91,1.71,2.83,60.5,1.87,0.09,51.91,320.2,181.28,10.06,3.67,1.23,1.14,1.28,62.93,54.35,86.4,5.98,0.0,1.14,1.21,0.25,0.0,0.0,0.0,6.09,0.43,0.8,35.2
81,2acd49b9,Moussa Sissoko,Watford,Premier League,187,83,Midfielder,Right,France,32.36,Moussa Sissoko - 32.36 - Watford,0.0,0.04,0.0,0.0,0.0,0.17,0.0,0.04,0.04,0.05,0.1,0.54,0.17,30.8,0.0,0.0,18.5,0.0,0.08,-0.04,-0.04,36.96,44.37,83.3,669.51,172.12,17.1,19.15,89.3,14.92,17.47,85.4,4.19,5.87,71.4,0.71,3.39,0.42,0.21,3.52,42.36,2.01,0.67,0.0,6.28,0.92,0.84,0.0,0.0,0.0,0.0,30.8,5.7,7.88,3.52,34.73,3.31,1.34,0.29,0.04,0.34,1.68,1.09,1.47,1.3,0.0,0.04,0.04,0.04,0.04,0.08,0.04,0.0,0.0,0.0,0.0,0.04,1.34,0.67,0.8,0.46,0.08,0.54,1.09,50.0,0.54,12.7,3.02,23.8,4.73,5.99,1.97,1.38,0.29,0.0,1.42,2.77,2.26,0.0,53.13,3.48,14.33,31.8,10.73,0.88,51.2,1.38,2.1,66.0,1.51,0.08,32.1,176.31,84.26,3.1,0.96,0.17,0.5,0.92,35.57,31.84,89.5,1.59,0.0,1.38,0.5,0.04,0.0,0.04,0.0,11.98,1.72,0.96,64.1
82,6250083a,Oliver Skipp,Tottenham,Premier League,177,66,Midfielder,Right,England,21.28,Oliver Skipp - 21.28 - Tottenham,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.02,0.02,0.05,0.07,0.23,0.08,33.3,0.0,0.0,24.4,0.0,0.06,-0.02,-0.02,48.74,53.8,90.6,896.73,205.07,19.54,20.71,94.4,23.59,25.46,92.7,5.14,6.46,79.5,0.39,4.9,0.55,0.08,4.52,52.47,1.32,1.25,0.08,6.15,1.01,0.08,0.0,0.0,0.0,0.0,44.53,4.52,4.75,2.49,48.89,1.56,0.08,0.23,0.0,0.47,1.4,1.09,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.0,0.0,0.0,0.0,0.0,2.1,1.09,1.01,0.93,0.16,0.86,1.95,44.0,1.09,18.37,4.59,25.0,7.94,8.56,1.87,1.79,0.7,0.0,1.48,3.58,0.93,0.0,62.67,2.26,13.78,43.75,8.17,0.31,61.51,0.16,0.23,66.7,0.16,0.0,42.28,190.2,97.55,4.67,1.4,0.16,0.55,0.86,47.26,44.77,94.7,0.39,0.0,1.48,1.56,0.0,0.0,0.0,0.0,8.95,0.7,0.93,42.9
83,6613c819,Tomáš Souček,West Ham,Premier League,190,84,Midfielder,Right,Czech Republic,26.82,Tomáš Souček - 26.82 - West Ham,0.18,0.05,0.18,0.0,0.0,0.18,0.02,0.19,0.19,0.04,0.22,1.54,0.5,32.4,0.12,0.36,12.1,0.0,0.12,-0.01,0.0,36.2,44.74,80.9,670.74,160.66,16.0,19.25,83.1,14.48,17.47,82.9,4.84,6.37,75.9,0.43,3.28,0.41,0.09,3.12,44.18,0.56,0.47,0.02,9.13,1.36,0.36,0.02,0.0,0.02,0.0,29.51,6.15,9.08,5.26,32.33,3.5,0.07,0.36,0.02,0.77,0.81,1.02,1.29,0.99,0.05,0.02,0.14,0.07,0.02,0.09,0.09,0.0,0.0,0.0,0.0,0.0,2.24,1.33,1.18,0.88,0.18,0.66,2.12,30.9,1.47,14.82,4.09,27.6,5.54,7.25,2.03,1.56,0.54,0.0,1.51,3.75,3.93,0.02,57.82,5.02,16.65,31.59,12.92,2.67,57.3,0.43,0.72,59.4,0.47,0.05,30.05,148.32,65.62,2.62,1.18,0.11,0.99,0.66,42.14,34.89,82.8,1.67,0.0,1.99,0.93,0.11,0.0,0.02,0.05,11.59,5.04,3.84,56.7
